||               NAME                ||  BAIS_RATING  || COMMUNITY ||   AGREE    |  DISAGREE  | RATIO | TEXT                   || LINK
|| Abridge News                      ||   allsides    ||           ||    480     |    326     | 1.472 | somewhat agrees        || https://www.allsides.com/news-source/abridge-news-media-bias
|| AllSides                          ||   allsides    ||           ||    4433    |    1772    | 2.502 | strongly agrees        || https://www.allsides.com/news-source/allsides
|| AZ Central                        ||    center     ||           ||    334     |    619     | 0.540 | disagrees              || https://www.allsides.com/news-source/az-central-media-bias
|| Aberdeen News                     ||    center     ||           ||     5      |     5      | 1.000 | neutral                || https://www.allsides.com/news-source/aberdeen-news-media-bias
|| Addison County Independent        ||    center     ||           ||     5      |     8      | 0.625 | disagrees              || https://www.allsides.com/news-source/addison-county-independent-media-bias
|| Aiken Standard                    ||    center     ||           ||     4      |     2      | 2.000 | agrees                 || https://www.allsides.com/news-source/aiken-standard-media-bias
|| Akron Beacon Journal              ||    center     ||           ||     4      |     6      | 0.667 | disagrees              || https://www.allsides.com/news-source/akron-beacon-journal-media-bias
|| Alabama News Network              ||    center     ||           ||     3      |     5      | 0.600 | disagrees              || https://www.allsides.com/news-source/alabama-news-network-media-bias
|| Alamosa News                      ||    center     ||           ||     6      |     3      | 2.000 | agrees                 || https://www.allsides.com/news-source/alamosa-news-media-bias
|| Albany Democrat-Herald            ||    center     ||           ||     3      |     2      | 1.500 | somewhat agrees        || https://www.allsides.com/news-source/albany-democrat-herald-media-bias
|| Albert Lea Tribune                ||    center     ||           ||     13     |     16     | 0.812 | somewhat disagrees     || https://www.allsides.com/news-source/albert-lea-tribune-media-bias
|| Albuquerque Journal               ||    center     ||           ||     23     |     49     | 0.469 | strongly disagrees     || https://www.allsides.com/news-source/albuquerque-journal-media-bias
|| Alleghany News                    ||    center     ||           ||     2      |     6      | 0.333 | strongly disagrees     || https://www.allsides.com/news-source/alleghany-news-media-bias
|| Anchorage Daily News              ||    center     ||           ||     79     |     81     | 0.975 | somewhat disagrees     || https://www.allsides.com/news-source/anchorage-daily-news
|| Anchorage Press                   ||    center     ||           ||     1      |     3      | 0.333 | strongly disagrees     || https://www.allsides.com/news-source/anchorage-press-media-bias
|| Anderson Independent-Mail         ||    center     ||           ||     1      |     2      | 0.500 | strongly disagrees     || https://www.allsides.com/news-source/anderson-independent-mail-media-bias
|| Arc Digital                       ||    center     ||           ||     71     |     81     | 0.877 | somewhat disagrees     || https://www.allsides.com/news-source/arc-digital-media-bias
|| Argus Leader                      ||    center     ||           ||     1      |     0      | 4.000 | absolutely agrees      || https://www.allsides.com/news-source/argus-leader-media-bias
|| Arizona Daily Star: tucson.com    ||    center     ||           ||     2      |     2      | 1.000 | neutral                || https://www.allsides.com/news-source/arizona-daily-star-tucsoncom-media-bias
|| Arizona Mirror                    ||    center     ||           ||     37     |     54     | 0.685 | somewhat disagrees     || https://www.allsides.com/news-source/arizona-mirror-media-bias
|| Ars Technica                      ||    center     ||           ||     46     |     82     | 0.561 | disagrees              || https://www.allsides.com/news-source/ars-technica-media-bias
|| Asbury Park Press                 ||    center     ||           ||     0      |     3      | 0.000 | absolutely disagrees   || https://www.allsides.com/news-source/asbury-park-press-media-bias
|| Austin Daily Herald               ||    center     ||           ||     12     |     15     | 0.800 | somewhat disagrees     || https://www.allsides.com/news-source/austin-daily-herald-media-bias
|| Avenue News                       ||    center     ||           ||     1      |     0      | 4.000 | absolutely agrees      || https://www.allsides.com/news-source/avenue-news-media-bias
|| Avoyelles Journal                 ||    center     ||           ||     2      |     0      | 4.000 | absolutely agrees      || https://www.allsides.com/news-source/avoyelles-journal-media-bias
|| azcentral                         ||    center     ||           ||     0      |     0      | 1.000 | neutral                || https://www.allsides.com/news-source/azcentral-media-bias
|| AJ+                               ||     left      ||           ||    743     |    273     | 2.722 | strongly agrees        || https://www.allsides.com/news-source/aj-media-bias
|| AframNews                         ||     left      ||           ||     21     |     21     | 1.000 | neutral                || https://www.allsides.com/news-source/aframnews-media-bias
|| Afro                              ||     left      ||           ||     23     |     17     | 1.353 | somewhat agrees        || https://www.allsides.com/news-source/afro-media-bias
|| AlterNet                          ||     left      ||           ||   15459    |    3514    | 4.399 | absolutely agrees      || https://www.allsides.com/news-source/alternet-media-bias
|| Aquinas College Saint             ||     left      ||           ||    1063    |    720     | 1.476 | somewhat agrees        || https://www.allsides.com/news-source/aquinas-college-saint
|| Arkansas Democrat-Gazette         ||     left      ||           ||    1155    |    910     | 1.269 | somewhat agrees        || https://www.allsides.com/news-source/arkansas-democrat-gazette
|| ABC News (Online)                 ||  left-center  ||           ||   40253    |   19964    | 2.016 | strongly agrees        || https://www.allsides.com/news-source/abc-news-media-bias
|| Above The Law                     ||  left-center  ||           ||    374     |    234     | 1.598 | agrees                 || https://www.allsides.com/news-source/above-law-media-bias
|| Adventist Today                   ||  left-center  ||           ||     17     |     28     | 0.607 | disagrees              || https://www.allsides.com/news-source/adventist-today-media-bias
|| Advocate                          ||  left-center  ||           ||     22     |     28     | 0.786 | somewhat disagrees     || https://www.allsides.com/news-source/advocate-media-bias-0
|| Al Jazeera                        ||  left-center  ||           ||    5411    |    7807    | 0.693 | somewhat disagrees     || https://www.allsides.com/news-source/al-jazeera-media-bias
|| American Press                    ||  left-center  ||           ||     41     |     35     | 1.171 | somewhat agrees        || https://www.allsides.com/news-source/american-press
|| Associated Press                  ||  left-center  ||           ||   33083    |   25900    | 1.277 | somewhat agrees        || https://www.allsides.com/news-source/associated-press-media-bias
|| Associated Press Fact Check       ||  left-center  ||           ||    6534    |    7572    | 0.863 | somewhat disagrees     || https://www.allsides.com/news-source/ap-fact-check-media-bias
|| Atlanta Black Star                ||  left-center  ||           ||    167     |    224     | 0.746 | somewhat disagrees     || https://www.allsides.com/news-source/atlanta-black-star-media-bias
|| Atlanta Journal-Constitution      ||  left-center  ||           ||    1237    |    1107    | 1.117 | somewhat agrees        || https://www.allsides.com/news-source/atlanta-journal-constitution
|| Attitude Magazine                 ||  left-center  ||           ||     14     |     16     | 0.875 | somewhat disagrees     || https://www.allsides.com/news-source/attitude-magazine-media-bias
|| Austin American-Statesman         ||  left-center  ||           ||    1061    |    869     | 1.221 | somewhat agrees        || https://www.allsides.com/news-source/austin-american-statesman
|| Axios                             ||  left-center  ||           ||    7868    |    8778    | 0.896 | somewhat disagrees     || https://www.allsides.com/news-source/axios
|| African American Conservatives    ||     right     ||           ||     31     |     30     | 1.033 | somewhat agrees        || https://www.allsides.com/news-source/african-american-conservatives-media-bias
|| Alpha News                        ||     right     ||           ||     16     |     13     | 1.231 | somewhat agrees        || https://www.allsides.com/news-source/alpha-news-media-bias
|| American Greatness                ||     right     ||           ||    611     |    278     | 2.198 | strongly agrees        || https://www.allsides.com/news-source/american-greatness-media-bias
|| American Thinker                  ||     right     ||           ||    2142    |    1138    | 1.882 | agrees                 || https://www.allsides.com/news-source/american-thinker
|| America's 1st Freedom             || right-center  ||           ||     23     |     18     | 1.278 | somewhat agrees        || https://www.allsides.com/news-source/americas-1st-freedom-media-bias
